"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","negLog10P","gene_symbol","sig","direction"
"ENSG00000000419",24.2208232586678,-0.111250222269029,0.128860868662769,0.363001757687488,0.495118628697903,0.440091272065461,"DPM1",FALSE,"Neutral"
"ENSG00000000457",9.49047542529719,-0.01473673866415,0.195179347274018,0.931699344316372,0.953073905307922,0.0307242101458021,"SCYL3",FALSE,"Neutral"
"ENSG00000000938",688.864638556512,0.20621538815768,0.145816431874993,0.126679725180437,0.226932847663646,0.897292887459497,"FGR",FALSE,"Neutral"
"ENSG00000000971",9.13938165776235,-0.357142765440052,0.273418155580525,0.0967882984540417,0.184864456603342,1.01417714500591,"CFH",FALSE,"Neutral"
"ENSG00000001036",25.1347492693275,-0.418400754229908,0.184839339236707,0.0115019764883467,0.0375964957148984,1.93922752449622,"FUCA2",FALSE,"Neutral"
"ENSG00000001084",31.1322757284211,-0.206518124596225,0.208567832731346,0.000591758983156308,0.00450066120249977,3.2278551405715,"GCLC",FALSE,"Neutral"
"ENSG00000001167",27.6013858434285,0.0279977366240997,0.133543571096011,0.823443256187081,0.88175915465889,0.084366322874204,"NFYA",FALSE,"Neutral"
"ENSG00000001460",8.25458195255041,-1.0015194945856,0.349189984682192,0.000602723721290831,0.00454930774148104,3.21988171574466,"STPG1",TRUE,"NoEvidence"
"ENSG00000001461",13.6587923763206,-0.36806218767514,0.234936347978258,0.0625763166443457,0.132198277063013,1.20359000379951,"NIPAL3",FALSE,"Neutral"
"ENSG00000001497",7.2738082229136,-0.0383739814913735,0.248463539038584,0.843847518882132,0.897130958646824,0.0737360222022738,"LAS1L",FALSE,"Neutral"
"ENSG00000001561",10.3068908385876,-0.880849343653909,0.256267318777575,9.72953802367133e-05,0.00128446486352275,4.01190778034146,"ENPP4",FALSE,"Neutral"
"ENSG00000001617",8.53466812040639,-0.600167292126997,0.323834382301349,0.0169596695220218,0.0503159720805503,1.7705826147067,"SEMA3F",FALSE,"Neutral"
"ENSG00000001626",67.7714719452031,-0.200899276789285,0.302320881510202,0.350401922718714,0.48251216955962,0.455433519445062,"CFTR",FALSE,"Neutral"
"ENSG00000001629",33.755938895221,-0.0960176159728252,0.184057243584003,0.557604746909299,0.674582727125706,0.25367353772974,"ANKIB1",FALSE,"Neutral"
"ENSG00000001630",17.4122112682766,-0.141421401348413,0.158226653850339,0.329593989132978,0.461517657945243,0.482020717212128,"CYP51A1",FALSE,"Neutral"
"ENSG00000001631",22.3755344803264,-0.480059333947199,0.201925539762095,0.00720098067437437,0.0266071750812227,2.14260835461497,"KRIT1",FALSE,"Neutral"
"ENSG00000002016",12.2012152565445,-0.349745847111632,0.250847167289694,0.0873935434571951,0.171100570273782,1.05852065139866,"RAD52",FALSE,"Neutral"
"ENSG00000002330",20.5054102733342,-0.441484145401055,0.20327482791726,0.0136866168183811,0.0428026552517485,1.86370389143434,"BAD",FALSE,"Neutral"
"ENSG00000002549",225.665687800321,1.85049853932784,0.26862366870485,2.36991914725981e-13,3.63066404746692e-11,12.6252664702337,"LAP3",TRUE,"Definite"
"ENSG00000002586",114.508084225115,-0.0748739591049553,0.130490644380597,0.544779076358401,0.664458889196191,0.263779580971539,"CD99",FALSE,"Neutral"
"ENSG00000002587",19.1187754104043,-0.182157431286858,0.251385766889465,0.360928903686051,0.493111509828227,0.442578337644772,"HS3ST1",FALSE,"Neutral"
"ENSG00000002822",44.9942717448821,-0.145055617225927,0.180626176008255,0.370813099920353,0.502939741447913,0.430844931694131,"MAD1L1",FALSE,"Neutral"
"ENSG00000002834",164.948896178215,-0.00122457034658858,0.0942679976051135,0.989705391222553,0.992767510363621,0.0044940639960543,"LASP1",FALSE,"Neutral"
"ENSG00000002919",40.9580260415552,-0.269965459935573,0.156721127977413,0.0618186707808469,0.130934987747765,1.20888033733078,"SNX11",FALSE,"Neutral"
"ENSG00000002933",49.2059032339513,0.0806211760722125,0.219493245542417,0.659788745786703,0.757545289492046,0.180595096617922,"TMEM176A",FALSE,"Neutral"
"ENSG00000003056",132.129957157301,-0.146565642760528,0.131496455429061,0.238113631225303,0.362316320990171,0.623215741947165,"M6PR",FALSE,"Neutral"
"ENSG00000003147",14.2389653033658,-0.47472660695813,0.284690727652124,0.0354750294000661,0.0867949078389473,1.45007723594713,"ICA1",FALSE,"Neutral"
"ENSG00000003393",17.9449124853162,-0.319240327126492,0.226522163229634,0.0930693154951296,0.17957130744927,1.03119348021824,"ALS2",FALSE,"Neutral"
