"gene","log2FoldChange","AveExpr","t","P.Value","padj","B","negLog10P","gene_symbol","sig","direction"
"ENSG00000170323",-4.8765880012198,2.87319445347115,-8.71578589902696,3.78400425331545e-14,5.27528032954707e-10,21.1051512600707,9.27775445691358,"FABP4",TRUE,"NoEvidence"
"ENSG00000185507",2.16307200263163,7.63210452096113,7.73535023085703,5.76748624931044e-12,4.02022629008184e-08,16.8410188652291,7.39574950070461,"IRF7",TRUE,"Definite"
"ENSG00000185885",2.16637620523176,9.91641836360259,7.56353415328953,1.37185834178121e-11,6.37502571425727e-08,15.9683561386003,7.19551805912342,"IFITM1",TRUE,"Definite"
"ENSG00000187608",4.01704848786668,8.25754198917219,7.47752364625204,2.11263255765515e-11,7.36305262156761e-08,15.5890056435106,7.13294209573751,"ISG15",TRUE,"Definite"
"ENSG00000154451",2.6384935964287,7.39051589519412,7.2333283631328,7.14106827282877e-11,1.99107265583012e-07,14.4361809976897,6.70091289193122,"GBP5",TRUE,"Definite"
"ENSG00000110848",2.79176001477394,5.75160831800923,6.92819702813711,3.2121644260792e-10,7.46346404399501e-07,12.9732457441172,6.12705955509928,"CD69",TRUE,"Definite"
"ENSG00000132274",1.77842053055068,7.97254727752765,6.70791088345726,9.3788705760832e-10,1.68383887145097e-06,11.9779603224422,5.77369946900485,"TRIM22",TRUE,"Definite"
"ENSG00000119922",4.0791927956358,6.84256741949401,6.70174509679674,9.66265760821160e-10,1.68383887145097e-06,11.9329358819819,5.77369946900485,"IFIT2",TRUE,"Definite"
"ENSG00000152766",2.24714807461912,4.0233868981653,6.57927664667504,1.74302447400934e-09,2.67066380025796e-06,11.2675442559356,5.57338078022374,"ANKRD22",TRUE,"Definite"
"ENSG00000168394",1.59319379100267,7.67660812792813,6.55309843507812,1.97621074447036e-09,2.67066380025796e-06,11.2682433704063,5.57338078022374,"TAP1",TRUE,"Definite"
"ENSG00000185897",2.79641772826462,4.27772304723177,6.53969601637034,2.1072592929372e-09,2.67066380025796e-06,11.0507936713942,5.57338078022374,"FFAR3",TRUE,"Definite"
"ENSG00000151914",-1.56751554901508,3.3211871218133,-6.4019078070964,4.06517339214100e-09,4.47836684063734e-06,10.5275487343091,5.34888033453117,"DST",TRUE,"NoEvidence"
"ENSG00000115267",2.25352760764254,6.28362258763371,6.39623788745355,4.17608270054411e-09,4.47836684063734e-06,10.55412521817,5.34888033453117,"IFIH1",TRUE,"Definite"
"ENSG00000125347",1.56637394111501,8.91717602353317,6.37530794708056,4.61195408082486e-09,4.5925179886271e-06,10.4577760592063,5.33794913391248,"IRF1",TRUE,"Definite"
"ENSG00000186417",-2.15482147615636,1.62065402484932,-6.34294866389743,5.37565153764659e-09,4.99613053908874e-06,9.95815452290724,5.30136622288692,"GLDN",TRUE,"NoEvidence"
"ENSG00000131203",3.18379698325733,5.46495829743529,6.23367308557825,8.99720153654981e-09,7.52253217082972e-06,9.8112340150152,5.12363594628194,"IDO1",TRUE,"Definite"
"ENSG00000170581",1.54159041575678,6.90697311626616,6.2185685430622,9.65818528172698e-09,7.52253217082972e-06,9.75600442684879,5.12363594628194,"STAT2",TRUE,"Definite"
"ENSG00000133106",2.49663509140623,6.43532888844342,6.20833798723547,1.01328279125011e-08,7.52253217082972e-06,9.71084803490885,5.12363594628194,"EPSTI1",TRUE,"Definite"
"ENSG00000135148",1.60755728717655,5.50406086520108,6.20583607267187,1.02523571656097e-08,7.52253217082972e-06,9.69923095916565,5.12363594628194,"TRAFD1",TRUE,"Definite"
"ENSG00000117228",2.30426608605921,8.36310367074979,6.17443395593417,1.18760705352033e-08,8.27821496656346e-06,9.56017305616327,5.08206330014109,"GBP1",TRUE,"Definite"
"ENSG00000115415",1.51668966309941,7.59037557374254,6.10045740976818,1.67698787645315e-08,1.11328038026826e-05,9.23108214830975,4.95339544458853,"STAT1",TRUE,"Definite"
"ENSG00000108984",1.87160736919407,4.56558208006245,6.06736841596275,1.95570001363528e-08,1.19265388387441e-05,9.06561700258739,4.92348557320538,"MAP2K6",TRUE,"Definite"
"ENSG00000121858",2.23233477900693,6.70192549336855,6.06605549761961,1.96765220063922e-08,1.19265388387441e-05,9.0794121273036,4.92348557320538,"TNFSF10",TRUE,"Definite"
"ENSG00000138207",-2.89310987220954,1.66627404019314,-6.0338832082243,2.2840707065684e-08,1.25914448190335e-05,8.69653995150255,4.89992443344004,"RBP4",TRUE,"NoEvidence"
"ENSG00000119917",3.26164616593161,6.97361631399196,6.03316409602496,2.29168710609556e-08,1.25914448190335e-05,8.93592041709422,4.89992443344004,"IFIT3",TRUE,"Definite"
"ENSG00000123609",1.35000249823117,6.34856439218147,6.01355485559785,2.50928463961151e-08,1.25914448190335e-05,8.84700927884637,4.89992443344004,"NMI",TRUE,"Definite"
"ENSG00000240065",1.75113877792081,6.36597963737173,6.01203433534191,2.52698238967395e-08,1.25914448190335e-05,8.84113149314037,4.89992443344004,"PSMB9",TRUE,"Definite"
"ENSG00000135899",1.43559961980049,7.30423433009967,6.01186621874955,2.52894666762023e-08,1.25914448190335e-05,8.83962825538146,4.89992443344004,"SP110",TRUE,"Definite"
"ENSG00000134321",3.77552128937621,6.73546158464022,5.99519343279963,2.73139990285291e-08,1.30778632122898e-05,8.76929269812357,4.88346320944599,"RSAD2",TRUE,"Definite"
"ENSG00000132109",1.27859795965287,5.30966704077562,5.98871778487749,2.81425935276302e-08,1.30778632122898e-05,8.74147623020657,4.88346320944599,"TRIM21",TRUE,"Definite"
"ENSG00000173193",1.83083756983393,6.85048827257518,5.9681063406896,3.09479760960611e-08,1.39176043469415e-05,8.64754166694265,4.85643551389521,"PARP14",TRUE,"Definite"
"ENSG00000067066",1.04073838527153,7.93629046486232,5.88954989456199,4.4393475521104e-08,1.9340295069991e-05,8.30687928979755,4.71353690428139,"SP100",TRUE,"Definite"
"ENSG00000115523",2.91497318091268,4.50671275981733,5.83855886844295,5.60413737909673e-08,2.35838117520696e-05,8.04573862298145,4.62738600038158,"GNLY",TRUE,"Definite"
"ENSG00000131979",1.68359598622872,6.56097958356713,5.83285664128142,5.75173660117901e-08,2.35838117520696e-05,8.05817032647967,4.62738600038158,"GCH1",TRUE,"Definite"
"ENSG00000111331",2.48576440898163,6.35152326334851,5.82302070623696,6.01535976832443e-08,2.3960037294346e-05,8.02016047686793,4.62051251029291,"OAS3",TRUE,"Definite"
"ENSG00000152558",1.46547917181593,6.85320562568599,5.81266000885063,6.30588191581719e-08,2.44195277190021e-05,7.96981854325891,4.61226273969559,"TMEM123",TRUE,"Definite"
"ENSG00000142089",1.50057890271623,10.2735758826255,5.80589074898964,6.50309484674791e-08,2.4502606826625e-05,7.94891646159812,4.61078770868882,"IFITM3",TRUE,"Definite"
"ENSG00000160710",1.11172336478457,7.37225190438752,5.784726819392,7.15956634175719e-08,2.62661879922203e-05,7.85029072905483,4.58060295173131,"ADAR",TRUE,"Definite"
"ENSG00000154783",-2.06171899909637,1.62655338235505,-5.742030026686,8.68813552749132e-08,3.1056742920194e-05,7.46745540763372,4.50784409290749,"FGD5",TRUE,"NoEvidence"
"ENSG00000100453",2.7346420932539,4.70153674338808,5.70849763023831,1.01092385163638e-07,3.52332235391569e-05,7.51584886237205,4.45304762076359,"GZMB",TRUE,"Definite"
"ENSG00000204264",1.115655357542,6.27381377623444,5.67065448203575,1.19879192773329e-07,3.99625143202945e-05,7.35950800315489,4.39834719509376,"PSMB8",TRUE,"Definite"
"ENSG00000168899",2.56197686290089,4.52228483378584,5.66969980264691,1.20394921558882e-07,3.99625143202945e-05,7.35446199358048,4.39834719509376,"VAMP5",TRUE,"Definite"
"ENSG00000173821",1.69310374691264,9.03980278288162,5.6598872038929,1.25823552749722e-07,4.07270062158539e-05,7.32315131007245,4.39011751310872,"RNF213",TRUE,"Definite"
