"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",192,0.806631114395224,3.4377366047413,1e-10,1.25e-09,1.25e-09,1265,"tags=61%, list=9%, signal=57%","CXCL10/IFIT2/ISG15/RSAD2/IFIT3/IDO1/IFIT1/CXCL11/CD69/IFI44/CMPK2/IFI44L/CXCL9/BATF2/VAMP5/P2RY14/USP18/EPSTI1/OAS3/GBP4/IFIH1/RTP4/TNFSF10/SOCS1/OAS2/IRF7/GZMA/SAMD9L/MX1/ZBP1/OASL/SLAMF7/IFI27/LY6E/XAF1/DHX58/IFI35/PARP14/DDX60/PSMB9/RNF213/GCH1/HERC6/CD274/PML/TRAFD1/TAP1/IRF1/STAT2/STAT1/EIF2AK2/IFITM3/SP110/CCL5/HELZ2/LAP3/CD38/IL2RB/MX2/NMI/APOL6/UBE2L6/PARP12/BST2/TRIM21/TDRD7/ISG20/LYSMD2/TOR1B/WARS1/FAS/TNFAIP6/STAT4/PSMB8/ADAR/NLRC5/PNPT1/BANK1/IL15RA/FCGR1A/MT2A/RBCK1/KLRK1/CMKLR1/CMTR1/CFB/IRF2/SECTM1/CCL7/PIM1/IRF4/CSF2RB/CCL2/FGL2/ARID5B/PSME2/JAK2/IFITM2/ZNFX1/CASP1/TRIM26/SLC25A28/IRF9/OGFR/PDE4B/PSME1/IL6/IL15/RIPK1/TRIM25/RNF31/IL7/SOCS3/TNFAIP2/EIF4E3/CASP3/MTHFD2/SERPING1",NA
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",97,0.868074964443324,3.35816118182257,1e-10,1.25e-09,1.25e-09,1040,"tags=79%, list=7%, signal=74%","CXCL10/IFIT2/ISG15/RSAD2/IFIT3/CXCL11/IFI44/CMPK2/IFI44L/BATF2/USP18/EPSTI1/GBP4/IFIH1/RTP4/IFITM1/IRF7/SAMD9L/MX1/SAMD9/OASL/OAS1/IFI27/LY6E/DHX58/IFI35/PARP14/DDX60/PSMB9/LAMP3/HERC6/TRAFD1/TAP1/IRF1/STAT2/EIF2AK2/IFITM3/SP110/HELZ2/LAP3/PARP9/TRIM5/NMI/MOV10/UBE2L6/PARP12/BST2/SELL/TRIM21/TDRD7/ISG20/WARS1/PSMB8/ADAR/NCOA7/PNPT1/GBP2/NUB1/CMTR1/IRF2/ELF1/TMEM140/PSME2/IFITM2/CASP1/TRIM26/SLC25A28/IRF9/UBA7/OGFR/PSME1/CNP/IL15/TRIM25/CSF1/RNF31/IL7",NA
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",170,0.592760623080901,2.50149799286648,1e-10,1.25e-09,1.25e-09,2171,"tags=45%, list=16%, signal=38%","CXCL10/CXCL11/CD69/CXCL9/RTP4/TNFSF10/IFITM1/IRF7/LY6E/EBI3/GCH1/LAMP3/KCNJ2/IRF1/EIF2AK2/CCL5/IL2RB/NMI/SLAMF1/BST2/SELL/TNFAIP6/ICAM4/CD48/PTGER2/LCK/IL15RA/CMKLR1/CXCR6/FFAR2/CCL7/ADGRE1/TNFSF9/CCL2/ADM/TLR1/EDN1/MEFV/KLF6/SPHK1/PDE4B/SEMA4D/CCR7/IL6/IL15/CSF1/CYBB/IRAK2/CHST2/RNF144B/LPAR1/CSF3R/RELA/NFKBIA/RIPK2/RASGRP1/ICAM1/LDLR/PTAFR/CCRL2/CSF3/GPR183/PTGER4/RHOG/LYN/KIF1B/LCP2/IL18RAP/IL18R1/MXD1/IL10RA/TAPBP/BTG2/GABBR1/CDKN1A/ABI1",NA
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",160,0.584142544197487,2.44319930958023,1e-10,1.25e-09,1.25e-09,2375,"tags=46%, list=17%, signal=38%","GZMB/CXCL9/SOCS1/IRF7/GZMA/CD3E/PRF1/CD3D/TAP1/TAP2/ZAP70/STAT1/CCL5/IL2RB/CD7/IL2RA/CD8A/CCR5/WARS1/FAS/CD2/CCL4/STAT4/LCK/CD247/GBP2/CCR1/CCL7/CCR2/IRF4/MMP9/CCL2/JAK2/TLR1/CD96/CCND2/FYB1/CD3G/FCGR2B/IL6/IL15/UBE2D1/IGSF6/CSF1/IL7/HLA-E/TNF/EIF4G3/HLA-A/RIPK2/B2M/ELF4/LTB/ICAM1/CD47/ETS1/PRKCB/CTSS/ST8SIA4/LYN/BCL3/KLRD1/NCF4/IL16/LCP2/IL18RAP/TAPBP/CSK/ABI1/WAS/ITGB2/CD80/TGFB1",NA
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",74,0.593393813398777,2.18210419433688,2.57485175723071e-07,1.83917982659336e-06,1.83917982659336e-06,2139,"tags=42%, list=15%, signal=36%","CXCL10/CXCL11/CXCL9/SOCS1/EBI3/IRF1/STAT2/STAT1/CD38/IL2RA/FAS/IL15RA/CCR1/CCL7/PIM1/CSF2RB/IL3RA/IRF9/IL6/CSF1/IL7/SOCS3/TNF/CSF3R/LTB/IL17RA/PTPN1/BAK1/IL10RB/IL18R1/IL1R2",0.674962860011025
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",192,0.510420916348449,2.17533471824013,1.96900329992265e-10,1.96900329992265e-09,1.96900329992265e-09,2480,"tags=42%, list=18%, signal=35%","CXCL10/IFIT2/CXCL11/CD69/IFIH1/GCH1/TAP1/IRF1/CCL5/MSC/TNFAIP6/CCL4/IL15RA/RNF19B/TNFSF9/CCL2/TRAF1/BIRC3/EDN1/PLEK/SAT1/KLF6/FUT4/SPHK1/EGR2/PDE4B/TIPARP/IL6/ATF3/CSF1/DUSP5/IER2/SOCS3/TNFAIP2/TNF/BCL2A1/SLC2A6/CFLAR/RELA/NFKBIA/TNFAIP3/MAFF/BIRC2/KLF4/RIPK2/TANK/CCNL1/ICAM1/TRIB1/ZFP36/LDLR/CCRL2/RELB/B4GALT5/GPR183/PTGER4/BCL3/SIK1/NFKB2/TNFAIP8/SMAD3/NFE2L2/NFIL3/IER3/KLF9/MXD1/PNRC1/BTG2/JUNB/CDKN1A/PPP1R15A/KLF2/IL23A/CD80/SOD2/FOSB/GADD45B/REL/BHLHE40/NINJ1",0.826657301178302
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",107,-0.51288679787295,-2.13178301347875,1.18105593639952e-07,9.84213280332933e-07,9.84213280332933e-07,1888,"tags=33%, list=14%, signal=28%","SVIL/TAGLN/DMD/CDH13/MRAS/ENO3/LPIN1/PLXNB2/DMPK/GAA/MEF2C/PC/CNN3/NAV2/COL1A1/NQO1/MYO1C/PDE4DIP/MYLK/ITGB4/SPTAN1/ERBB3/SORBS3/TNNI2/MAPRE3/DENND2B/CD36/LARGE1/WWTR1/ITGB5/DTNA/SPARC/FABP3/SCD/FHL1",0.704975715167238
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",159,0.452199472963729,1.89065212154719,3.56636394343102e-06,2.22897746464439e-05,2.22897746464439e-05,2942,"tags=43%, list=21%, signal=34%","CXCL10/GBP4/TNFSF10/SOCS1/IFITM3/CTLA4/IL2RB/SELL/IL2RA/TNFRSF4/SMPDL3A/SLC39A8/RHOH/CD48/PTGER2/GALM/CISH/BATF/BATF3/PIM1/IRF4/FGL2/TRAF1/ICOS/CCND2/KLF6/IL3RA/PRAF2/CSF1/CST7/ADAM19/CDKN1C/CASP3/FLT3LG/IKZF4/MUC1/MAFF/TNFRSF18/CDC42SE2/CKAP4/LTB/PLSCR1/PLAGL1/NFIL3/IL18R1/MXD1/IL10RA/IL1R2/NCOA3/IL1RL1/NFKBIZ/ST3GAL4/GADD45B/BHLHE40/CCND3/BMPR2/IL10/ODC1/LRRC8C/FURIN/TNFRSF8/BCL2L1/HK2/RABGAP1L/CAPN3/HOPX/TWSG1/EMP1",0.627256739718528
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",49,-0.517323542425768,-1.87435456422911,0.000572400841766522,0.00204428872059472,0.00204428872059472,3978,"tags=61%, list=29%, signal=44%","AIMP2/RRP12/PA2G4/HSPE1/NOP2/NOP56/NOC4L/NOP16/BYSL/FARSA/PPAN/PRMT3/NPM1/DCTPP1/HSPD1/PUS1/SUPV3L1/WDR43/NOLC1/MYBBP1A/SRM/GRWD1/GNL3/MPHOSPH10/PPRC1/IMP4/NDUFAF4/SORD/RCL1/EXOSC5",0.477270815362862
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",155,0.449611454566924,1.87315049335575,1.83011531161081e-05,0.000101673072867267,0.000101673072867267,2684,"tags=41%, list=19%, signal=34%","GZMB/IRF7/GZMA/PSMB9/MMP8/IRF1/CCL5/LAP3/APOBEC3G/LCK/VCPIP1/CFB/IRF2/GNB4/CASP5/PIM1/S100A9/JAK2/PLEK/CASP1/S100A12/APOBEC3F/IL6/DUSP5/FCN1/CDA/MSRB1/CASP3/SERPING1/GCA/GNG2/TNFAIP3/FCER1G/MAFF/RASGRP1/CLU/LIPA/CTSC/PLSCR1/SPOCK2/CTSS/LGMN/RHOG/LYN/CASP10/USP15/SRC/C1R/LCP2/CASP4/ERAP2/WAS/C3/GRB2/PDGFB/PIK3CA/CASP7/PRDM4/LTF/CD55/SIRT6/GNAI3/DUSP6/PIK3CG",0.575610261071129
