"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",63,0.808592955914412,2.91678806378301,1e-10,4.86e-09,4.86e-09,1239,"tags=60%, list=9%, signal=55%","IFIT2/ISG15/RSAD2/IFIT3/IFIT1/USP18/OAS3/SOCS1/OAS2/IFITM1/IRF7/IFI6/IFIT5/MX1/OASL/OAS1/IFI27/XAF1/IFI35/IRF1/STAT2/STAT1/EIF2AK2/IFITM3/MX2/BST2/ISG20/PSMB8/ADAR/GBP2/IRF2/IRF4/IFITM2/IRF9/HLA-E/SOCS3/KPNB1/HLA-F",NA
"REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA","REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA",65,0.724544344842212,2.64669741008359,1e-10,4.86e-09,4.86e-09,1845,"tags=63%, list=13%, signal=55%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/EZH2/H3C3/H3C2/MTF2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION","REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION",58,0.733404277556423,2.64298900893042,1e-10,4.86e-09,4.86e-09,1845,"tags=69%, list=13%, signal=60%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/TAF1C/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT","REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT",58,0.731457431262041,2.63597310581179,1e-10,4.86e-09,4.86e-09,1845,"tags=69%, list=13%, signal=60%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/KDM6A/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",236,0.602617802424611,2.6311538243065,1e-10,4.86e-09,4.86e-09,1274,"tags=28%, list=9%, signal=26%","IFIT2/ISG15/RSAD2/IFIT3/IFIT1/IFI44/HERC5/IFI44L/GBP5/USP18/OAS3/GBP4/GBP1/IFIH1/SOCS1/OAS2/IFITM1/IRF7/IFI6/IFIT5/MX1/OASL/OAS1/IFI27/XAF1/MAP2K6/IFI35/TRIM22/PML/IRF1/STAT2/STAT1/EIF2AK2/IFITM3/TRIM5/MX2/GBP3/UBE2L6/BST2/TRIM21/ISG20/PSMB8/ADAR/SP100/GBP2/FCGR1A/MT2A/TRIM38/IRF2/PIM1/IRF4/JAK2/IFITM2/CASP1/TRIM26/IRF9/SPHK1/UBA7/TRIM25/TRIM34/HLA-E/SOCS3/KPNB1/EIF4E3/HLA-F/EIF4G3/FANCA",NA
"REACTOME_DNA_METHYLATION","REACTOME_DNA_METHYLATION",54,0.740321653673814,2.60242297468965,1e-10,4.86e-09,4.86e-09,1845,"tags=72%, list=13%, signal=63%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS","REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS",77,0.685635286602976,2.57711837486552,1e-10,4.86e-09,4.86e-09,2297,"tags=61%, list=16%, signal=51%","H2AC19/PML/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/LEF1/CSF3R/DEK/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4/H2BC21/CDKN1A/H3-3A/H4C3",NA
"REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX","REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX",63,0.706849632522043,2.54977557737707,1e-10,4.86e-09,4.86e-09,1845,"tags=62%, list=13%, signal=54%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
"REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES","REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES",62,0.710872976786665,2.53964526951517,1e-10,4.86e-09,4.86e-09,2039,"tags=66%, list=15%, signal=57%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4/H2BC21/CCNB1",NA
"REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",57,0.716372254922601,2.53909018619848,1e-10,4.86e-09,4.86e-09,1845,"tags=68%, list=13%, signal=60%","H2AC19/H3C12/H2BC13/H2AC4/H4C14/H2BC17/H4C9/H3C11/H2AC14/H2BC3/H4C6/H3C13/H3C10/H2BC7/H2AC8/H4C13/H2AC20/H2BC6/H3C1/H2BC12/H2BC10/H2BC14/H2BC11/H4C1/H3C14/H3C15/H2BC8/H2BC9/H2BC15/H4C8/H3C3/H3C2/H2AC6/H2BC4/H4C2/H3-3B/H2BC5/H3C7/H3C4",NA
