"gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","sig_class"
"GLDN",-2.15043856754743,5.09544559218947e-06,0.158499815013886,0.998419475690512,"RNA only"
"MAP2K6",1.87142021057677,1.2610120928723e-05,-0.00945487114900377,0.998419475690512,"RNA only"
"RBP4",-2.8901547195797,1.29061301288578e-05,0.130760053280904,0.998419475690512,"RNA only"
"SEMA3C",-1.12552257150339,4.96878013517356e-05,0.0510962147910645,0.998419475690512,"RNA only"
"IRF2",0.947070943676493,6.16174143554683e-05,-0.03084824466431,0.998419475690512,"RNA only"
"AOC3",-1.96573883120214,8.14339356246861e-05,0.455796205728347,0.716792830623108,"RNA only"
"FN1",-1.905953665527,8.24645260915388e-05,0.478532750629088,0.791573009435334,"RNA only"
"TNFSF13B",1.56724101534259,0.000108483154209472,-5.6432933568482e-05,0.999596035234501,"RNA only"
"APOC1",-2.3842799030754,0.000152162153598956,0.337990339417718,0.998419475690512,"RNA only"
"LPL",-1.97378942610841,0.000217423336791671,0.341876566537828,0.936867356766746,"RNA only"
"SEPTIN11",-1.06995717855497,0.00023867799803108,0.170030496395577,0.998419475690512,"RNA only"
"SLAMF7",1.90673865787019,0.00031939925755046,-0.303075556752348,0.29774321937391,"RNA only"
"KDM1A",-0.795162725012401,0.000380676197023088,0.172511019401266,0.998419475690512,"RNA only"
"TRIM5",1.37868288712207,0.000480587230097627,-0.0323842792864346,0.998419475690512,"RNA only"
"NT5C3A",2.14789426273223,0.000816812439585579,-0.0206775167116507,0.998419475690512,"RNA only"
"LYRM1",0.777243613881788,0.00104839216477095,-0.0387595086385941,0.998419475690512,"RNA only"
"SCO2",1.06240965196315,0.00105434683071359,-0.028390702824803,0.998419475690512,"RNA only"
"MARCO",-1.59109355774985,0.00118013292502345,0.0989808270928178,0.998419475690512,"RNA only"
"ITGB5",-1.38519609522897,0.00130083298448308,0.0371833188576913,0.998419475690512,"RNA only"
"RAB37",1.29702306866327,0.00158616289273683,-0.0191592141945511,0.998419475690512,"RNA only"
"CDC42BPB",-0.93107998484554,0.00191899314571045,0.1007320461922,0.998419475690512,"RNA only"
"CD36",-1.13133116579368,0.00209520741137467,0.115223427534527,0.998419475690512,"RNA only"
"LIMD2",1.01313053061009,0.00211474251303696,-0.163117783332936,0.998419475690512,"RNA only"
"PRMT1",-0.712809287031615,0.00316960115500265,0.391983986610918,0.706512937326028,"RNA only"
"BST2",1.29932534109736,0.0032499345009779,-0.0442087065415525,0.998419475690512,"RNA only"
"SCCPDH",-1.06846320587597,0.00368147190208255,0.00391381801745447,0.998419475690512,"RNA only"
"HIBADH",-1.01197817711857,0.00424096268809881,0.0333376374404288,0.998419475690512,"RNA only"
"CD38",1.40481574529367,0.00426706333996455,-0.0914008054438877,0.963338709988253,"RNA only"
"NRP1",-0.948726903466662,0.00469088693975833,0.118381726884507,0.998419475690512,"RNA only"
