"gene","coef","gene_symbol","fold"
"ENSG00000110848",0.0129450968237938,"CD69",1
"ENSG00000122863",-0.262051774127673,"CHST3",1
"ENSG00000124749",-0.0997620215877245,"COL21A1",1
"ENSG00000133101",0.107954535866524,"CCNA1",1
"ENSG00000154451",0.00636699505072478,"GBP5",1
"ENSG00000170323",-0.263907679536914,"FABP4",1
"ENSG00000185507",0.106903036593047,"IRF7",1
"ENSG00000185897",0.100675362371105,"FFAR3",1
"ENSG00000187608",0.00217643649760256,"ISG15",1
"ENSG00000229292",-0.807215040728207,"RFPL4AL1",1
"ENSG00000236341",-0.156631174102128,"AL161740.1",1
"ENSG00000259094",-0.0126526384216941,"AC013457.1",1
"ENSG00000075223",-0.0625301088333622,"SEMA3C",2
"ENSG00000115523",0.0595667555898077,"GNLY",2
"ENSG00000122863",-0.281836966130071,"CHST3",2
"ENSG00000135164",0.0157098110234571,"DMTF1",2
"ENSG00000158769",-0.103861003757681,"F11R",2
"ENSG00000163735",-0.205905990765515,"CXCL5",2
"ENSG00000170323",-0.123459347665712,"FABP4",2
"ENSG00000179639",-0.0950602954168582,"FCER1A",2
"ENSG00000185885",0.211849539290533,"IFITM1",2
"ENSG00000185897",0.259039676540016,"FFAR3",2
"ENSG00000187608",0.062201800940392,"ISG15",2
"ENSG00000226673",-0.285434567962248,"LINC01108",2
"ENSG00000249610",-0.316257564638506,"AC010255.2",2
"ENSG00000261286",-0.279377375080821,"ATP2C2-AS1",2
"ENSG00000170323",-0.126581683305153,"FABP4",3
"ENSG00000185507",0.13487839386418,"IRF7",3
"ENSG00000185897",0.207400252445225,"FFAR3",3
"ENSG00000064270",-0.354233780887396,"ATP2C2",4
"ENSG00000114737",0.0979763419760981,"CISH",4
"ENSG00000115523",0.0699945615521238,"GNLY",4
"ENSG00000128606",-0.319477924743601,"LRRC17",4
"ENSG00000163735",-0.100451705299435,"CXCL5",4
"ENSG00000170323",-0.398314358932398,"FABP4",4
"ENSG00000185507",0.105166343358733,"IRF7",4
"ENSG00000185897",0.227415315750159,"FFAR3",4
"ENSG00000187608",0.0471327855231887,"ISG15",4
"ENSG00000235886",-0.0236490861466063,"AC006055.1",4
"ENSG00000259094",-0.000854797576789654,"AC013457.1",4
"ENSG00000273173",-0.144041902813483,"SNURF",4
"ENSG00000006282",-0.582811510275584,"SPATA20",5
"ENSG00000110848",0.0532981607005172,"CD69",5
"ENSG00000115461",-0.162371504406476,"IGFBP5",5
"ENSG00000115523",0.0275318161696722,"GNLY",5
"ENSG00000149021",-0.0178508791729962,"SCGB1A1",5
"ENSG00000170323",-0.337586934286579,"FABP4",5
"ENSG00000185507",0.230289808117901,"IRF7",5
"ENSG00000185897",0.0958722904111954,"FFAR3",5
"ENSG00000204264",0.0655444340585513,"PSMB8",5
"ENSG00000256116",-0.0697962007645602,"AP001453.2",5
"ENSG00000274038",-0.0871970259919678,"AC007014.2",5
"ENSG00000277342",-0.0342408315416183,"AC048344.4",5
