"gene","coef","gene_symbol","fold"
"ENSG00000170323",-0.301198409963678,"FABP4",1
"ENSG00000133101",0.214655048969029,"CCNA1",1
"ENSG00000162836",-0.196399975559743,"ACP6",1
"ENSG00000175073",0.231258123633132,"VCPIP1",2
"ENSG00000185885",0.112673256122835,"IFITM1",2
"ENSG00000185897",0.111288553904558,"FFAR3",2
"ENSG00000185897",0.257760296063348,"FFAR3",3
"ENSG00000185507",0.204211023450334,"IRF7",3
"ENSG00000170323",-0.183510513236625,"FABP4",3
"ENSG00000170323",-0.395732255329107,"FABP4",4
"ENSG00000128606",-0.317560479107431,"LRRC17",4
"ENSG00000064270",-0.291711102182294,"ATP2C2",4
"ENSG00000170323",-0.262567949760985,"FABP4",5
"ENSG00000185507",0.161116312633425,"IRF7",5
"ENSG00000006282",-0.128238981382536,"SPATA20",5
