"","gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","r_all","r_Control","r_LRTI","delta_r_LRTI_Control"
"1","CCDC24",-0.477552723084649,0.394277916088067,0.0319357555129491,0.998419475690512,0.0519035048358207,0.59243949096882,-0.185486453355272,-0.777925944324093
"2","LANCL1",-0.419267857798467,0.499359607993952,-0.3886344225572,0.853216168095328,0.0450104624532613,0.471649983997027,-0.258836416227691,-0.730486400224718
"3","GCHFR",-1.69166098856974,0.0120159069565711,-0.446082289356344,0.813379694366864,0.344776000902753,0.721993894408403,0.0285332132288925,-0.693460681179511
"4","HAGH",-0.365072258345408,0.250153588137772,-0.00557263241996364,0.998419475690512,-0.0136982207476146,0.48011844446073,-0.208601584370913,-0.688720028831643
"5","BASP1",0.182869801651943,0.725171089945284,0.199372428560259,0.998419475690512,0.215970975576866,-0.279320121878715,0.396552211403686,0.675872333282401
"6","ABRAXAS1",-0.210750660965748,0.697067778251725,-0.0340516818470338,0.998419475690512,0.0454240114998161,-0.373646939542133,0.301975630288911,0.675622569831044
"7","NIT2",-0.393136849130997,0.489630319614297,-0.0768449724051607,0.998419475690512,-0.0205851481631647,0.391459951268056,-0.28162571247102,-0.673085663739077
"8","GIMAP6",1.95448871804002,4.76931783080588e-05,0.148733540859808,0.726670319561975,0.390794216486877,-0.165965343413541,0.505684148186171,0.671649491599712
"9","CD72",0.263918233540284,0.691545218551406,0.0118600912006218,0.998419475690512,0.211430556800218,-0.256863998188977,0.414627389372596,0.671491387561572
"10","MAPRE1",-0.00646212787727369,0.988052033380281,0.219916177969939,0.998419475690512,0.0613789778339025,-0.383107717595012,0.276204370420222,0.659312088015234
"11","GLA",0.197109701194058,0.73355192476537,-0.13908408572954,0.595628154734049,-0.1366725474652,-0.501306425397721,0.157893021552991,0.659199446950712
"12","C1QC",-0.68912660898993,0.355742712948472,0.323065280452323,0.727916443716349,-0.00662078224496932,0.445953906900274,-0.212974981097713,-0.658928887997987
"13","TADA3",-0.0939872320594216,0.751617275092623,0.169719464336232,0.832343405187712,0.244213606071824,-0.238330748358998,0.418810227336288,0.657140975695286
"14","LDB1",0.134726833489639,0.635839653003197,-0.029750890177014,0.998419475690512,0.0672452647977256,-0.366686664461649,0.289185017349209,0.655871681810857
"15","CCL8",4.00096145514428,0.00456923054538259,0.890623084640164,0.0100940521362388,0.755812376145433,0.0704703413215208,0.722932595998185,0.652462254676664
"16","MAP2K3",0.141520884422179,0.740179832413654,-0.00101499303171251,0.998419475690512,0.0445383867921085,0.50890793428172,-0.140876815754033,-0.649784750035753
"17","TINF2",0.178072423924632,0.57404827166746,-0.0276989088058352,0.998419475690512,0.05486446070398,0.49600043604115,-0.147121127265631,-0.64312156330678
"18","AMN",0.101696285545251,0.913967256480479,0.0415383585652529,0.998419475690512,0.0191636694986038,-0.452922268192746,0.189175677314947,0.642097945507693
"19","NANS",-0.0655113546945908,0.855673960128953,0.272039924384839,0.998419475690512,0.154514015846038,0.572029270485253,-0.0699955132083986,-0.642024783693652
"20","ARL5A",-0.351330174926173,0.329215663405961,-0.0169540205340085,0.998419475690512,0.181027374554294,-0.26521083890935,0.372091549233008,0.637302388142358
"21","PLTP",-0.127594265243959,0.854640693619522,0.127157545851645,0.998419475690512,0.0431768527822838,0.464172784112556,-0.172001336885125,-0.636174120997681
"22","UBLCP1",-0.00620100302769414,0.991727020920172,-0.256940663474881,0.998419475690512,-0.00804334755120038,-0.428226942753444,0.204117077235735,0.632344019989179
"23","FHIT",-0.323390620051752,0.73301760859927,-0.395432334286453,0.818970386642779,0.072856887560347,0.460812492390486,-0.170043414462327,-0.630855906852813
