"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","padj","log2FoldChange","negLog10P","sig","direction"
"GCH1",1.42849294052305,12.9276688575765,6.56652379798491,2.10615738848141e-09,1.3365674787303e-05,10.945840312335,1.3365674787303e-05,1.42849294052305,4.87400911030779,TRUE,"Definite"
"FABP4",-1.89610141736872,12.6383290204212,-6.3393692734452,6.13173163506738e-09,1.94559844780688e-05,9.97268653035504,1.94559844780688e-05,-1.89610141736872,4.71094678888617,TRUE,"NoEvidence"
"ISG15",1.85560377685089,13.3354403968709,6.06287247303969,2.20592061264791e-08,4.6662574026212e-05,8.80685513850381,4.6662574026212e-05,1.85560377685089,4.33103130809377,TRUE,"Definite"
"GNLY",1.67309519867616,12.1934782593331,5.86086546236463,5.53434720207011e-08,8.78024183608423e-05,7.96947937909717,8.78024183608423e-05,1.67309519867616,4.05649352206309,TRUE,"Definite"
"FABP3",-1.09731697715753,12.8818712015789,-5.79460905856714,7.46052992231585e-08,9.46890457740327e-05,7.69767361540473,9.46890457740327e-05,-1.09731697715753,4.02370026001532,TRUE,"NoEvidence"
"TLL1",-1.03271830960085,10.4471207359629,-5.65712869867257,1.37949535754697e-07,0.000145904625649885,7.13841104840814,0.000145904625649885,-1.03271830960085,3.83593093934455,TRUE,"NoEvidence"
"INHA",1.39693485141647,13.8949121896462,5.33401425864017,5.68652937408792e-07,0.000515524505828027,5.8508333296509,0.000515524505828027,1.39693485141647,3.28775068538934,TRUE,"Definite"
"TIFA",1.12044740174752,12.3733335727594,5.2314552155473,8.83634925249183e-07,0.000644424868199301,5.45056507143233,0.000644424868199301,1.12044740174752,3.19082770861076,TRUE,"Definite"
"MX1",1.97615517366816,14.0658249767439,5.22356795599411,9.13933787235064e-07,0.000644424868199301,5.41995913447401,0.000644424868199301,1.97615517366816,3.19082770861076,TRUE,"Definite"
"LGALS9",0.491497059735705,12.5652102021977,5.12212927276666,1.40666145838269e-06,0.000892667361489658,5.02863470265717,0.000892667361489658,0.491497059735705,3.04931034400296,TRUE,"Definite"
"ALDH3B1",-1.00312092221886,12.2510745608795,-4.92833514272534,3.16570185563103e-06,0.00182632217962132,4.29329791807776,0.00182632217962132,-1.00312092221886,2.73842260659945,TRUE,"NoEvidence"
"PCOLCE2",-0.916452812454824,11.9903327153161,-4.88895169067151,3.7252081684253e-06,0.00192534547728093,4.14590145039063,0.00192534547728093,-0.916452812454824,2.71549133087512,TRUE,"NoEvidence"
"CEL",-1.40066116416628,12.1794043601877,-4.86217094139971,4.15942495984422e-06,0.00192534547728093,4.04607641764986,0.00192534547728093,-1.40066116416628,2.71549133087512,TRUE,"NoEvidence"
"GZMB",1.56586509631151,12.1878122656639,4.85707015459554,4.24753178095382e-06,0.00192534547728093,4.0271006770055,0.00192534547728093,1.56586509631151,2.71549133087512,TRUE,"Definite"
"IFIT3",1.60060656713926,13.7750426577353,4.73285392890587,7.04950943199308e-06,0.00298241245702854,3.56875000254913,0.00298241245702854,1.60060656713926,2.52543229534829,TRUE,"Definite"
"GZMK",1.18257871712844,11.1153471977572,4.51124497081696,1.70803091359581e-05,0.00677447761104938,2.76956986110599,0.00677447761104938,1.18257871712844,2.16912418818575,TRUE,"Definite"
"SCPEP1",-0.810399835246278,11.4875002224568,-4.44248823255821,2.23629527529132e-05,0.00822031308283503,2.52664249963288,0.00822031308283503,-0.810399835246278,2.08511164139446,TRUE,"NoEvidence"
"TMEM190",-0.494333618313934,9.33823642330317,-4.43177917825425,2.33163623528255e-05,0.00822031308283503,2.489026296211,0.00822031308283503,-0.494333618313934,2.08511164139446,TRUE,"NoEvidence"
"QPCTL",-0.512718965151717,10.8815550483784,-4.37477213831335,2.90895509951602e-05,0.0097159100323835,2.28979803513869,0.0097159100323835,-0.512718965151717,2.01251651533874,TRUE,"NoEvidence"
"ANGPT1",-0.752477789759493,11.0450171541412,-4.34903831882769,3.21263182789125e-05,0.0100940521362388,2.20042664838996,0.0100940521362388,-0.752477789759493,1.99593445644577,TRUE,"NoEvidence"
"CCL8",0.890623084640164,9.69995675263399,4.32030662456374,3.58778188804896e-05,0.0100940521362388,2.10106199135261,0.0100940521362388,0.890623084640164,1.99593445644577,TRUE,"Definite"
"AMY2B",-1.20609579794341,12.7482452737695,-4.31125575763756,3.71445898890142e-05,0.0100940521362388,2.06985268342081,0.0100940521362388,-1.20609579794341,1.99593445644577,TRUE,"NoEvidence"
"MCF2L",-0.631280300094316,11.4392477206781,-4.30748048221197,3.76856176754553e-05,0.0100940521362388,2.05684779245287,0.0100940521362388,-0.631280300094316,1.99593445644577,TRUE,"NoEvidence"
"HGD",-0.635494689283607,11.0479049423377,-4.30411167875562,3.81747953466326e-05,0.0100940521362388,2.04524959698172,0.0100940521362388,-0.635494689283607,1.99593445644577,TRUE,"NoEvidence"
"VEGFA",-0.39664164149734,11.8272900211532,-4.28035231084712,4.18026375287041e-05,0.0104147171666229,1.96362484517653,0.0104147171666229,-0.39664164149734,1.98235251972899,TRUE,"NoEvidence"
"RNASE1",-1.50961526169736,11.1433042407004,-4.27261830339364,4.30535408290774e-05,0.0104147171666229,1.93712101102179,0.0104147171666229,-1.50961526169736,1.98235251972899,TRUE,"NoEvidence"
"CDHR3",-0.479541580948421,10.9612301985231,-4.26505894017051,4.43109617867662e-05,0.0104147171666229,1.91124718277491,0.0104147171666229,-0.479541580948421,1.98235251972899,TRUE,"NoEvidence"
"VEGFB",-0.243594644045059,11.6827271650984,-4.23091541068929,5.04441523723973e-05,0.0114328068198298,1.79477216465836,0.0114328068198298,-0.243594644045059,1.9418471347213,TRUE,"NoEvidence"
"FAIM",-0.476259156300493,10.1738835504261,-4.17658663587219,6.19180012482502e-05,0.0129582631272613,1.61076551906955,0.0129582631272613,-0.476259156300493,1.88745320562565,TRUE,"NoEvidence"
"TMED10",-0.931206172744347,12.7218821728499,-4.17247915607189,6.28806655674555e-05,0.0129582631272613,1.59692065594223,0.0129582631272613,-0.931206172744347,1.88745320562565,TRUE,"NoEvidence"
"ST6GALNAC6",-0.675385159985927,11.904917821207,-4.17070590770934,6.33006865655687e-05,0.0129582631272613,1.59094657942424,0.0129582631272613,-0.675385159985927,1.88745320562565,TRUE,"NoEvidence"
"IL20RA",-0.663964142103518,10.1368184689702,-4.14359587845689,7.00674163170732e-05,0.0138952444983796,1.49983251546476,0.0138952444983796,-0.663964142103518,1.85713380704689,TRUE,"NoEvidence"
"CCL15",-0.8898161011411,13.4646635296608,-4.1318269497676,7.32163565527368e-05,0.0140797272328384,1.46040714667657,0.0140797272328384,-0.8898161011411,1.8514057587181,TRUE,"NoEvidence"
"OAS1",1.32202039930391,12.9998789881284,4.11288286226111,7.8572137240014e-05,0.0146652583213273,1.39710992469502,0.0146652583213273,1.32202039930391,1.83371028273192,TRUE,"Definite"
"CHST9",-0.4498369646126,11.0666255407146,-3.92284536542755,0.000157720347047545,0.0283341064242608,0.773589393116508,0.0283341064242608,-0.4498369646126,1.54769047919796,TRUE,"NoEvidence"
"GPC3",-1.30244262964376,11.3568037947813,-3.91759931044708,0.000160735554880773,0.0283341064242608,0.756677372384709,0.0283341064242608,-1.30244262964376,1.54769047919796,TRUE,"NoEvidence"
"IDO1",0.944213818205641,11.3805937439055,3.87772977786958,0.000185517069957268,0.0318186844851032,0.628685290080679,0.0318186844851032,0.944213818205641,1.49731777983308,TRUE,"Definite"
"DSCAML1",-0.27834542798295,9.84389253121394,-3.83666596344453,0.000214828030003347,0.035876281010559,0.497859571251407,0.035876281010559,-0.27834542798295,1.44519258291622,TRUE,"NoEvidence"
"CD59",-0.309695856839303,11.3521499536708,-3.74997950201575,0.000291828662179095,0.0474857612868855,0.225061593999663,0.0474857612868855,-0.309695856839303,1.32343659503944,TRUE,"NoEvidence"
"LRFN4",-0.249427315209858,10.0204278191651,-3.73809198011514,0.000304240334555155,0.0482677290771754,0.188013430732957,0.0482677290771754,-0.249427315209858,1.31634313359175,TRUE,"NoEvidence"
