"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS","REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_ACINAR_CELLS",19,-0.86312150353954,-2.22256235257151,3.8009794996912e-07,3.12349643045805e-05,1.97286017122985e-05,329,"tags=47%, list=5%, signal=45%","SOX9/CPB1/PLA2G1B/REG1A/PNLIP/PRSS1/AMY2A/CEL/RNASE1",0.674962860011025
"REACTOME_DIGESTION","REACTOME_DIGESTION",14,-0.907069652606237,-2.2006715362995,1.15971600362616e-06,7.80102298439199e-05,4.92727553349521e-05,101,"tags=43%, list=2%, signal=42%","PNLIP/PIR/AMY2A/AMY1A/AMY2B/CEL",0.643551836150722
"REACTOME_DIGESTION_AND_ABSORPTION","REACTOME_DIGESTION_AND_ABSORPTION",14,-0.907069652606237,-2.2006715362995,1.15971600362616e-06,7.80102298439199e-05,4.92727553349521e-05,101,"tags=43%, list=2%, signal=42%","PNLIP/PIR/AMY2A/AMY1A/AMY2B/CEL",0.643551836150722
"REACTOME_COMPLEMENT_CASCADE","REACTOME_COMPLEMENT_CASCADE",50,0.786943980129417,2.13018578839191,6.396088971055e-10,1.2907307543589e-07,8.15250266408245e-08,733,"tags=58%, list=12%, signal=52%","CRP/C1R/CFB/C5/SERPING1/CR1/C4BPA/C1S/C9/ELANE/C4B/C3/CFHR2/CFI/FCN2/C2/CD55/CFP/C6/FCN3/C7/CPN2/C1QC/VTN/CFH/CPN1/CFHR4/CFHR1/C8G",0.801215574617779
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",45,0.774490189258288,2.10506613450149,4.37059149782361e-08,5.51240852663003e-06,3.48174280709563e-06,560,"tags=29%, list=9%, signal=27%","MX1/ISG15/IFIT3/OAS1/STAT1/GBP2/OASL/PTPN1/IFIT2/HLA-G/KPNB1/HLA-C/RPS27A",0.719512826338911
"REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING",134,0.675815498405988,2.09269745773435,1e-10,2.5225e-08,1.59325931459365e-08,881,"tags=34%, list=14%, signal=30%","MX1/ISG15/IFIT3/OAS1/STAT1/GBP1/GBP2/OASL/UBA7/FKBP5/RIGI/PML/PTPN1/TRIM21/EIF4E/B2M/YBX1/ICAM1/IFIT2/HLA-G/EIF2S1/FCGR1A/EIF4G1/UBE2I/CAMK2D/KPNB1/KPNA2/HSPA2/IFIH1/HSPA5/STAT3/HSPA8/CAMK2B/HLA-C/RPS27A/MAPK3/UBE2L6/NCAM1/PTPN2/VCAM1/SPHK1/HSPA1B/PPM1B/UBB/GBP5/SFN",NA
"REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING",48,0.741001446272771,2.00564413136598,1.82271675417352e-07,2.04346800551231e-05,1.29069353175682e-05,749,"tags=42%, list=12%, signal=37%","OAS1/STAT1/GBP1/GBP2/OASL/PML/PTPN1/TRIM21/B2M/YBX1/ICAM1/HLA-G/FCGR1A/CAMK2D/CAMK2B/HLA-C/MAPK3/NCAM1/PTPN2/VCAM1",0.690132458796796
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",21,0.85848230297835,1.99819920120104,3.02603557527397e-07,2.77569990495585e-05,1.75318522421709e-05,466,"tags=52%, list=7%, signal=49%","CRP/C1R/CFB/C1S/C4B/C3/FCN2/C2/CFP/FCN3/C1QC",0.674962860011025
"REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES","REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES",72,0.686690121903022,1.97297773082014,4.02432642179928e-07,3.12349643045805e-05,1.97286017122985e-05,881,"tags=39%, list=14%, signal=34%","MX1/ISG15/OAS1/STAT1/GBP1/GBP2/OASL/UBA7/RIGI/EIF4E/EIF2S1/EIF4G1/UBE2I/KPNB1/KPNA2/HSPA2/STAT3/HSPA8/RPS27A/MAPK3/UBE2L6/PTPN2/SPHK1/HSPA1B/PPM1B/UBB/GBP5/SFN",0.674962860011025
"REACTOME_INFLUENZA_INFECTION","REACTOME_INFLUENZA_INFECTION",47,0.70665839076992,1.92269060221539,9.0025758886032e-06,0.000363343962864025,0.000229495006237651,751,"tags=40%, list=12%, signal=36%","ISG15/GBP1/RPL5/RPL12/HSP90AA1/RPL30/GTF2F2/CLTC/KPNB1/KPNA2/RPL26L1/RAN/RPS20/RPS25/RPS27A/RPS19/RPL11/RPS3/RPLP2",0.593325476396405
