"protein","coef","fold","PROBEID","GENENAME","UNIPROT"
"FABP4",-0.125973670118513,1,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.0011151060753031,4,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.00286647931032837,3,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.137594742004848,5,"15386-7","fatty acid binding protein 4","E7DVW4"
"GCH1",0.0694915155211683,2,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.162406792534992,1,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.00571314769664372,4,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.00564785462509154,3,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.0238749751353502,5,"11185-145","GTP cyclohydrolase 1","P30793"
"GNLY",0.0168636543819027,2,"14102-6","granulysin","B4E3H9"
"GNLY",0.0686831560095058,3,"14102-6","granulysin","B4E3H9"
"ISG15",0.00806714350983737,1,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"ISG15",0.0650010401512551,4,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"ISG15",0.0567207697532364,2,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"PCOLCE2",-0.109784389911911,5,"6081-52","procollagen C-endopeptidase enhancer 2","B2RCH9"
