"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity"
"P73","Human orthopneumovirus",11250,1,1868215,"","viruses",494773,3300.356517,14,491593,99.6625,6949.8,492706,3286.568705,14,491593,99.7831
"P73","Quercus suber",58331,1,3511,"","eukaryota",42,0.280158727,2,12,99.8441,165.238,9,0.060034013,NA,NA,100
"P73","Cenococcum geophilum",5570,1,5569,"","eukaryota",2,0.013340892,NA,NA,89.3,75,0,0,NA,NA,0
"P73","uncultured beta proteobacterium CBNPD1 BAC clone 578",417305,1,-200,"","bacteria",448,2.988359752,1,448,95.428,1903,2,0.013340892,NA,NA,84.2
"P73","uncultured proteobacterium",153809,1,-200,"","bacteria",439,2.928325739,1,439,99.795,1466,0,0,NA,NA,0
"P73","uncultured marine eukaryote",203449,1,-200,"","eukaryota",4,0.026681783,NA,NA,100,77.5,0,0,NA,NA,0
"P73","uncultured delta proteobacterium",34034,1,-200,"","bacteria",2,0.013340892,NA,NA,97,116,0,0,NA,NA,0
"P73","uncultured Acidobacteria bacterium",171953,1,-200,"","bacteria",2,0.013340892,NA,NA,100,93,0,0,NA,NA,0
"P73","uncultured Bacteroidetes bacterium",152509,1,-200,"","bacteria",2,0.013340892,NA,NA,97.9,97,0,0,NA,NA,0
"P73","uncultured Alphaproteobacteria bacterium",91750,1,-200,"","bacteria",2,0.013340892,NA,NA,100,92,0,0,NA,NA,0
"P73","Actinobacteria bacterium IMCC26256",1650658,1,-200,"","bacteria",2,0.013340892,NA,NA,98.6,70,2,0.013340892,NA,NA,70.2
"P73","uncultured soil bacterium",164851,1,-200,"","bacteria",2,0.013340892,NA,NA,100,92,0,0,NA,NA,0
"P73","uncultured bacterium 5G12",1701325,1,-200,"","bacteria",4,0.026681783,NA,NA,93.025,133.25,2,0.013340892,NA,NA,85.05
"P73","uncultured beta proteobacterium",86027,1,-200,"","bacteria",4,0.026681783,NA,NA,99.65,107.5,0,0,NA,NA,0
"P73","[Polyangium] brachysporum",413882,1,-200,"","bacteria",6,0.040022675,NA,NA,92.6363,122.667,0,0,NA,NA,0
"P73","uncultured actinobacterium",152507,1,-200,"","bacteria",16,0.106727134,1,10,98.5519,188.438,0,0,NA,NA,0
