"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity","expected_bg_count","p_val","p_adj"
"P73","Human orthopneumovirus",11250,1,1868215,"","viruses",494773,3300.356517,14,491593,99.6625,6949.8,492706,3286.568705,14,491593,99.7831,0.648517214775128,0,0
"P73","Quercus suber",58331,1,3511,"","eukaryota",42,0.280158727,2,12,99.8441,165.238,9,0.060034013,NA,NA,100,8371.78717263905,0.994005120156213,0.999240419271059
"P73","uncultured beta proteobacterium CBNPD1 BAC clone 578",417305,1,-200,"","bacteria",448,2.988359752,1,448,95.428,1903,2,0.013340892,NA,NA,84.2,23899.5261581377,0.979132322988966,0.999240419271059
"P73","uncultured proteobacterium",153809,1,-200,"","bacteria",439,2.928325739,1,439,99.795,1466,0,0,NA,NA,0,105.697031410516,0.0169311017968299,0.208816922160902
"P73","[Polyangium] brachysporum",413882,1,-200,"","bacteria",6,0.040022675,NA,NA,92.6363,122.667,0,0,NA,NA,0,483.86500030013,0.983807490506254,0.999240419271059
"P73","uncultured actinobacterium",152507,1,-200,"","bacteria",16,0.106727134,1,10,98.5519,188.438,0,0,NA,NA,0,251.492463744415,0.929892188715544,0.999240419271059
"P73","uncultured fungus",175245,1,-200,"","eukaryota",30,0.200113376,NA,NA,99.2467,85,0,0,NA,NA,0,2970.78197076455,0.988139249932124,0.999240419271059
"P73","uncultured eukaryote",100272,1,-200,"","eukaryota",42,0.280158727,NA,NA,97.781,73.1667,0,0,NA,NA,0,5257.76137187909,0.990615955483619,0.999240419271059
"P73","uncultured bacterium",77133,1,-200,"","bacteria",765,5.102891094,4,237,99.1157,329.458,24,0.160090701,1,8,82.3692,29400.8015236386,0.971473778059925,0.999240419271059
"P73","Bradyrhizobium sp. SK17",2057741,1,374,"","bacteria",144,0.960544206,NA,NA,93.6938,129.375,6,0.040022675,NA,NA,94.2167,45384.0518322476,0.996206540506106,0.999240419271059
"P73","Bradyrhizobium sp. ORS 3257",167468,1,374,"","bacteria",10,0.066704459,NA,NA,90.6388,134.9,1,0.006670446,NA,NA,100,513.380575128313,0.976388423855808,0.999240419271059
"P73","Bradyrhizobium ottawaense",931866,1,374,"","bacteria",6,0.040022675,NA,NA,97.7667,87.3333,0,0,NA,NA,0,1225.9402064599,0.993375650599388,0.999240419271059
"P73","Bradyrhizobium icense",1274631,1,374,"","bacteria",6,0.040022675,NA,NA,93.3,102.333,0,0,NA,NA,0,729.506337703113,0.989082537471907,0.999240419271059
"P73","Bradyrhizobium sp.",376,1,374,"","bacteria",7,0.046693121,NA,NA,100,77.4286,0,0,NA,NA,0,812.446499632814,0.988803862458827,0.999240419271059
"P73","Bradyrhizobium sp. BTAi1",288000,1,374,"","bacteria",7,0.046693121,NA,NA,92.8571,82.8571,0,0,NA,NA,0,674.393042281262,0.986610142914651,0.999240419271059
"P73","Bradyrhizobium diazoefficiens",1355477,1,374,"","bacteria",8,0.053363567,NA,NA,93.95,75.5,0,0,NA,NA,0,1804.62500676972,0.994182264949501,0.999240419271059
"P73","Bradyrhizobium sp. OHSU_III",1297865,1,374,"","bacteria",147,0.980555544,1,147,99.645,844,0,0,NA,NA,0,21531.2647112599,0.992059358382556,0.999240419271059
"P73","Bradyrhizobium elkanii",29448,1,374,"","bacteria",83,0.553647008,1,83,100,546,47,0.313510956,NA,NA,96.4872,1006.24989673593,0.914490947649698,0.999240419271059
"P73","Bradyrhizobium erythrophlei",1437360,1,374,"","bacteria",499,3.328552491,1,485,90.9491,2520.7,13,0.086715796,NA,NA,91.4615,1104.40462255186,0.629320393155299,0.999240419271059
"P73","Acidovorax carolinensis",553814,1,12916,"","bacteria",8,0.053363567,NA,NA,97.4,88,1,0.006670446,NA,NA,100,525.538114191329,0.980953080237502,0.999240419271059
"P73","Acidovorax avenae",80867,1,12916,"","bacteria",8,0.053363567,NA,NA,91.4375,91,0,0,NA,NA,0,709.150246063387,0.985709123739388,0.999240419271059
"P73","Variovorax sp. PAMC 28711",1795631,1,34072,"","bacteria",6,0.040022675,NA,NA,97.6333,92.6667,0,0,NA,NA,0,244.666969909465,0.968937068284976,0.999240419271059
"P73","Variovorax paradoxus",34073,1,34072,"","bacteria",11,0.073374905,NA,NA,94.1636,76,7,0.046693121,NA,NA,98.0143,2750.26575943615,0.994883119794035,0.999240419271059
"P73","Methylobacterium brachiatum",269660,1,407,"","bacteria",7,0.046693121,NA,NA,97.4714,114.286,0,0,NA,NA,0,237.421572386348,0.963695198259795,0.999240419271059
"P73","Rhodococcus qingshengii",334542,1,1827,"","bacteria",6,0.040022675,NA,NA,99.7667,141,0,0,NA,NA,0,990.146004331743,0.991862572193772,0.999240419271059
"P73","Rhodococcus erythropolis",1833,1,1827,"","bacteria",14,0.093386242,NA,NA,99.4429,112.643,10,0.066704459,NA,NA,99.6,972.211540201438,0.982747188107168,0.999240419271059
"P73","Caulobacter vibrioides",155892,1,75,"","bacteria",12,0.08004535,NA,NA,95.8543,120.5,10,0.066704459,NA,NA,99.7402,1124.45164522926,0.986923762996185,0.999240419271059
"P73","Burkholderia contaminans",488447,1,32008,"","bacteria",145,0.967214652,NA,NA,99.8084,148.552,50,0.333522294,NA,NA,94.0673,19310.4939239334,0.991296498836993,0.999240419271059
"P73","Pneumocystis jirovecii",42068,1,4753,"","eukaryota",14,0.093386242,NA,NA,99.6929,103.143,2,0.013340892,NA,NA,97.9,0,0,0
"P73","Bosea sp. AS-1",2015316,1,85413,"","bacteria",6,0.040022675,NA,NA,88.9333,122.833,0,0,NA,NA,0,183.865765526248,0.959265702498321,0.999240419271059
"P73","Filimonas lacunae",477680,1,649460,"","bacteria",16,0.106727134,1,8,95.3447,213.312,0,0,NA,NA,0,2012.95465749323,0.990328194896219,0.999240419271059
"P73","Bacillus pumilus",1408,1,1386,"","bacteria",6,0.040022675,NA,NA,97.25,100.333,0,0,NA,NA,0,0.13393766478437,3.63828389919069e-07,8.9744336180037e-06
"P73","Stenotrophomonas maltophilia",40324,1,40323,"","bacteria",46,0.30684051,NA,NA,98.9026,154.087,53,0.353533631,1,4,94.5018,7140.36134384121,0.992386030605581,0.999240419271059
"P73","Azospirillum brasilense",192,1,191,"","bacteria",11,0.073374905,NA,NA,91.7182,114.636,2,0.013340892,NA,NA,84.6,144.96006801133,0.915469309863665,0.999240419271059
"P73","Pseudomonas fluorescens",294,1,286,"","bacteria",6,0.040022675,NA,NA,100,120,1,0.006670446,NA,NA,100,628.512310310132,0.987401805474589,0.999240419271059
"P73","Leifsonia sp. 21MFCrub1.1",1798223,1,110932,"","bacteria",5,0.033352229,NA,NA,87.94,107.6,0,0,NA,NA,0,152.493838450021,0.958010050918324,0.999240419271059
"P73","Leifsonia xyli",1575,1,110932,"","bacteria",18,0.120068026,NA,NA,93.7,78.3333,1,0.006670446,NA,NA,83.8,311.94399692837,0.936380695585088,0.999240419271059
"P73","Corynebacterium ureicelerivorans",401472,1,1716,"","bacteria",6,0.040022675,NA,NA,99.0167,130.333,0,0,NA,NA,0,291.964159505366,0.973749389142535,0.999240419271059
"P73","Corynebacterium stationis",1705,1,1716,"","bacteria",7,0.046693121,NA,NA,99.8286,99.5714,0,0,NA,NA,0,162.302354368035,0.947993275800514,0.999240419271059
"P73","Corynebacterium simulans",146827,1,1716,"","bacteria",12,0.08004535,1,9,97.1162,199.583,0,0,NA,NA,0,79.9772412934018,0.84397463860893,0.999240419271059
"P73","Bacteroides vulgatus",821,1,816,"","bacteria",6,0.040022675,NA,NA,100,87,0,0,NA,NA,0,70.1500290518623,0.899953358331145,0.999240419271059
"P73","Acinetobacter johnsonii",40214,1,469,"","bacteria",5,0.033352229,NA,NA,99.74,96,2,0.013340892,NA,NA,100,662.379465963528,0.989675735759886,0.999240419271059
"P73","Vigna angularis",3914,1,3913,"adzuki bean","eukaryota",6,0.040022675,NA,NA,99.5,85.3333,24,0.160090701,1,24,94.393,25.4916916255144,0.756700859865512,0.999240419271059
"P73","Halanaerobium praevalens",2331,1,2330,"","bacteria",6,0.040022675,1,6,87.5,96,0,0,NA,NA,0,0.711502630607303,0.00229282250432774,0.0424172163300631
"P73","Microbacterium sp. PAMC 28756",1795053,1,33882,"","bacteria",7,0.046693121,NA,NA,96.4714,78.5714,0,0,NA,NA,0,161.423685864014,0.947727067890252,0.999240419271059
"P73","Escherichia coli",562,1,561,"","bacteria",1402,9.351965116,1,204,99.9053,232.411,477,3.181802682,2,490,97.9648,37880.8678467847,0.960129939046885,0.999240419271059
"P73","Cutibacterium acnes",1747,1,1912216,"","bacteria",19,0.126738472,1,5,99.7789,127.105,16,0.106727134,1,5,95.9391,6975.02101181575,0.996585147794635,0.999240419271059
"P73","Delftia sp. Cs1-4",742013,1,80865,"","bacteria",5,0.033352229,NA,NA,95.96,136.4,0,0,NA,NA,0,251.187883694359,0.973858690201754,0.999240419271059
"P73","Delftia tsuruhatensis",180282,1,80865,"","bacteria",7,0.046693121,NA,NA,98.2,124.143,0,0,NA,NA,0,994.452932236381,0.990782034010781,0.999240419271059
"P73","Delftia acidovorans",80866,1,80865,"","bacteria",6,0.040022675,NA,NA,96.8667,81.1667,3,0.020011338,NA,NA,98.6667,987.802870217923,0.991843990772375,0.999240419271059
"P73","Streptococcus mitis",28037,1,1301,"","bacteria",7,0.046693121,1,7,94.851,369,0,0,NA,NA,0,390.272249940387,0.977386062495349,0.999240419271059
